f_player_id,count,wins,date
13438,3,1,2020-07-19
13438,4,3,2020-07-20
13438,3,2,2020-08-06
13438,1,0,2020-08-07
13438,2,0,2020-08-25
13459,1,1,2020-06-11
13459,1,1,2020-06-22
13459,1,0,2020-07-01
13477,23,12,2020-06-01
13477,13,6,2020-06-02
13477,4,1,2020-06-03
13477,7,6,2020-06-04
13477,21,13,2020-06-05
13477,4,3,2020-06-06
13477,14,7,2020-06-07
13477,12,6,2020-06-08
13477,4,1,2020-06-09
13477,2,1,2020-06-10
13477,2,0,2020-06-11
13477,1,1,2020-06-12
13477,3,3,2020-06-13
13477,6,6,2020-06-14
13477,8,5,2020-06-15
13477,4,3,2020-06-16
13477,6,3,2020-06-18
13477,15,9,2020-06-19
13477,3,3,2020-06-20
13477,21,12,2020-06-22
13477,21,11,2020-06-23
13477,8,5,2020-06-24
13477,5,1,2020-06-25
13477,35,19,2020-06-26
13477,29,19,2020-06-27
13477,36,23,2020-06-28
13477,16,11,2020-06-29
13477,25,15,2020-06-30
13477,26,14,2020-07-01
13477,19,9,2020-07-02
13477,23,14,2020-07-03
13477,37,18,2020-07-04
13477,15,11,2020-07-05
13477,15,7,2020-07-06
13477,5,1,2020-07-07
13477,2,0,2020-07-09
13477,17,7,2020-07-10
13477,37,20,2020-07-11
13477,10,5,2020-07-12
13477,28,17,2020-07-13
13477,13,3,2020-07-14
13477,23,11,2020-07-15
13477,3,2,2020-07-16
13477,11,3,2020-07-17
13477,35,23,2020-07-18
13477,24,13,2020-07-19
13477,8,3,2020-07-20
13477,11,8,2020-07-21
13477,15,12,2020-07-22
13477,22,13,2020-07-23
13477,35,20,2020-07-24
13477,11,6,2020-07-25
13477,5,4,2020-07-26
13477,9,6,2020-07-27
13477,5,1,2020-07-28
13477,19,13,2020-07-29
13477,12,6,2020-07-31
13477,13,7,2020-08-01
13477,13,7,2020-08-02
13477,23,15,2020-08-03
13477,22,15,2020-08-04
13477,17,10,2020-08-05
13477,4,1,2020-08-06
13477,15,8,2020-08-07
13477,33,28,2020-08-08
13477,8,3,2020-08-09
13477,1,0,2020-08-10
13477,2,0,2020-08-11
13477,6,3,2020-08-13
13477,3,1,2020-08-14
13477,20,11,2020-08-16
13477,17,7,2020-08-17
13477,26,18,2020-08-18
13477,15,9,2020-08-19
13477,16,7,2020-08-20
13477,46,35,2020-08-21
13477,27,18,2020-08-22
13477,26,15,2020-08-23
13477,16,11,2020-08-24
13477,13,5,2020-08-25
13477,16,8,2020-08-26
13477,7,3,2020-08-27
13477,1,1,2020-08-28
13477,8,6,2020-08-29
13477,13,9,2020-08-30
13477,5,4,2020-08-31
13477,4,2,2020-09-01
13477,16,11,2020-09-02
13477,1,1,2020-09-03
13477,9,5,2020-09-04
13477,8,4,2020-09-05
13477,13,10,2020-09-06
13477,5,4,2020-09-07
13477,21,11,2020-09-08
13477,22,12,2020-09-09
13477,15,10,2020-09-10
13477,1,0,2020-09-11
13477,9,7,2020-09-12
13477,1,1,2020-09-15
13477,9,4,2020-09-16
13477,11,7,2020-09-17
13477,31,14,2020-09-18
13477,52,26,2020-09-19
13477,46,25,2020-09-20
13477,18,12,2020-09-21
13477,9,6,2020-09-22
13477,6,4,2020-09-23
13477,20,12,2020-09-24
13477,12,10,2020-09-25
13477,12,7,2020-09-27
13477,12,8,2020-09-28
13477,16,12,2020-09-29
13477,7,5,2020-09-30
13477,6,4,2020-10-01
13477,5,3,2020-10-02
13477,2,1,2020-10-03
13477,6,4,2020-10-19
13477,1,1,2020-10-24
13536,3,1,2020-07-01
13536,5,2,2020-07-02
13536,2,2,2020-10-21
13536,8,3,2020-11-17
13545,7,5,2020-06-03
13545,9,6,2020-06-04
13545,13,9,2020-06-05
13545,11,7,2020-06-06
13545,28,21,2020-06-07
13545,2,2,2020-06-08
13545,5,3,2020-06-23
13545,17,12,2020-06-24
13545,7,2,2020-06-25
13545,38,20,2020-06-29
13545,68,41,2020-06-30
13545,45,34,2020-07-01
13545,31,21,2020-07-02
13545,93,69,2020-07-03
13545,55,40,2020-07-04
13545,39,28,2020-07-05
13545,20,14,2020-07-06
13545,45,22,2020-07-07
13545,14,8,2020-07-08
13545,7,3,2020-07-09
13545,29,14,2020-07-10
13545,17,8,2020-07-11
13545,16,9,2020-07-12
13545,18,12,2020-07-13
13545,19,14,2020-07-14
13545,32,23,2020-07-15
13545,22,10,2020-07-16
13545,24,15,2020-07-17
13545,19,14,2020-07-18
13545,4,1,2020-07-19
13545,39,25,2020-07-20
13545,42,32,2020-07-21
13545,29,19,2020-07-22
13545,25,16,2020-07-23
13545,19,14,2020-07-24
13545,24,18,2020-07-25
13545,13,10,2020-07-26
13545,17,14,2020-07-27
13545,20,13,2020-07-28
13545,2,1,2020-07-29
13545,36,19,2020-07-30
13545,12,6,2020-08-04
13545,7,5,2020-08-05
13545,5,2,2020-08-06
13545,6,1,2020-08-09
13545,5,3,2020-08-10
13545,6,2,2020-08-11
13545,11,3,2020-08-12
13545,23,11,2020-08-13
13545,6,5,2020-08-14
13545,1,1,2020-08-16
13545,4,1,2020-08-17
13545,1,0,2020-08-18
13545,9,6,2020-08-19
13545,4,2,2020-08-21
13545,6,5,2020-08-22
13545,2,0,2020-08-24
13545,12,8,2020-08-25
13545,28,20,2020-08-26
13545,19,15,2020-08-27
13545,7,4,2020-08-29
13545,1,1,2020-08-30
13545,11,6,2020-09-07
13545,10,5,2020-09-08
13545,39,28,2020-09-10
13545,8,5,2020-09-12
13545,7,2,2020-09-13
13545,3,1,2020-09-14
13545,7,5,2020-09-15
13545,12,8,2020-09-19
13545,7,3,2020-09-20
13545,4,2,2020-09-21
13545,13,7,2020-09-26
13545,7,3,2020-09-27
13545,8,5,2020-10-06
13545,1,0,2020-10-10
13545,5,5,2020-10-13
13545,15,8,2020-10-14
13545,1,0,2020-10-18
13545,1,0,2020-10-19
13545,9,9,2020-10-20
13545,4,4,2020-10-21
13545,15,11,2020-10-22
13545,17,12,2020-10-23
13545,3,1,2020-10-24
13545,8,6,2020-10-26
13545,2,1,2020-10-27
13545,4,3,2020-10-28
13545,24,16,2020-10-30
13545,13,5,2020-10-31
13545,3,2,2020-11-02
13545,2,1,2020-11-03
13545,1,1,2020-11-22
13545,83,65,2020-11-26
13545,74,51,2020-11-27
13545,108,71,2020-11-28
13545,132,90,2020-11-29
13545,64,49,2020-11-30
13582,3,2,2020-08-19
13594,2,1,2020-09-09
13594,1,1,2020-09-21
13594,3,2,2020-09-23
13594,2,1,2020-09-24
13622,5,2,2020-08-09
13622,3,2,2020-08-19
13622,2,1,2020-08-29
13649,3,2,2020-08-07
13649,3,2,2020-08-19
13690,2,2,2020-06-17
13690,3,2,2020-06-18
13690,2,2,2020-06-19
13690,2,2,2020-06-22
13714,1,0,2020-08-16
13714,2,2,2020-09-06
13714,1,1,2020-10-10
13714,1,1,2020-10-11
13714,5,3,2020-10-23
13831,3,2,2020-07-19
13831,1,0,2020-07-20
13831,4,3,2020-08-07
13831,1,1,2020-08-19
13831,2,0,2020-08-21
13831,6,4,2020-08-24
13831,9,9,2020-08-25
13831,4,3,2020-08-30
13831,6,5,2020-09-06
13831,2,1,2020-09-07
13831,3,0,2020-09-19
13831,1,1,2020-09-29
13992,1,1,2020-06-12
14213,12,3,2020-06-01
14213,15,6,2020-06-02
14213,23,13,2020-06-03
14213,5,4,2020-06-04
14213,9,2,2020-06-05
14213,23,11,2020-06-06
14213,12,4,2020-06-07
14213,9,1,2020-06-08
14213,12,5,2020-06-09
14213,18,6,2020-06-10
14213,23,10,2020-06-11
14213,4,3,2020-06-12
14213,15,9,2020-06-13
14213,2,1,2020-06-14
14213,21,12,2020-06-15
14213,3,2,2020-06-16
14213,22,11,2020-06-17
14213,9,5,2020-06-18
14213,3,2,2020-06-21
14213,9,5,2020-06-22
14213,6,3,2020-06-23
14213,9,4,2020-06-24
14213,10,4,2020-06-25
14213,6,2,2020-06-26
14213,15,8,2020-06-27
14213,11,8,2020-06-28
14213,18,7,2020-06-29
14213,7,3,2020-06-30
14213,16,10,2020-07-01
14213,31,17,2020-07-02
14213,11,5,2020-07-03
14213,14,8,2020-07-04
14213,18,11,2020-07-05
14213,27,7,2020-07-06
14213,12,4,2020-07-07
14213,15,6,2020-07-08
14213,7,4,2020-07-09
14213,4,2,2020-07-10
14213,8,4,2020-07-11
14213,10,3,2020-07-12
14213,20,9,2020-07-13
14213,7,5,2020-07-14
14213,23,14,2020-07-15
14213,26,12,2020-07-16
14213,1,1,2020-07-17
14213,14,9,2020-07-18
14213,17,9,2020-07-19
14213,26,20,2020-07-20
14213,6,5,2020-07-21
14213,13,5,2020-07-22
14213,7,7,2020-07-23
14213,13,9,2020-07-24
14213,18,12,2020-07-25
14213,8,5,2020-07-26
14213,9,7,2020-07-27
14213,6,4,2020-07-28
14213,14,9,2020-07-29
14213,16,9,2020-07-30
14213,11,4,2020-07-31
14213,24,13,2020-08-01
14213,14,12,2020-08-02
14213,16,13,2020-08-03
14213,13,6,2020-08-04
14213,19,10,2020-08-05
14213,16,9,2020-08-06
14213,7,5,2020-08-07
14213,14,14,2020-08-08
14213,16,6,2020-08-09
14213,17,11,2020-08-10
14213,17,12,2020-08-11
14213,17,11,2020-08-12
14213,34,21,2020-08-13
14213,17,11,2020-08-14
14213,11,8,2020-08-15
14213,16,9,2020-08-16
14213,13,8,2020-08-17
14213,18,14,2020-08-18
14213,23,16,2020-08-19
14213,30,24,2020-08-20
14213,64,51,2020-08-21
14213,11,7,2020-08-22
14213,11,5,2020-08-23
14213,21,15,2020-08-24
14213,31,19,2020-08-25
14213,14,8,2020-08-26
14213,12,7,2020-08-27
14213,26,13,2020-08-28
14213,53,22,2020-08-29
14213,25,17,2020-08-30
14213,21,14,2020-08-31
14213,18,12,2020-09-01
14213,24,15,2020-09-02
14213,20,12,2020-09-03
14213,35,23,2020-09-04
14213,33,17,2020-09-05
14213,14,11,2020-09-06
14213,19,14,2020-09-07
14213,29,20,2020-09-08
14213,36,21,2020-09-09
14213,15,8,2020-09-10
14213,14,10,2020-09-11
14213,16,8,2020-09-12
14213,20,18,2020-09-13
14213,85,63,2020-09-14
14213,77,41,2020-09-15
14213,86,58,2020-09-16
14213,75,40,2020-09-17
14213,59,35,2020-09-18
14213,56,44,2020-09-19
14213,64,42,2020-09-20
14213,54,29,2020-09-21
14213,35,20,2020-09-22
14213,117,63,2020-09-23
14213,53,27,2020-09-24
14213,51,25,2020-09-25
14213,42,25,2020-09-26
14213,82,47,2020-09-27
14213,23,16,2020-09-28
14213,40,25,2020-09-29
14213,11,6,2020-09-30
14213,60,43,2020-10-05
14213,56,32,2020-10-06
14213,50,25,2020-10-07
14213,70,49,2020-10-08
14213,86,53,2020-10-09
14213,87,53,2020-10-10
14213,99,59,2020-10-11
14213,71,29,2020-10-12
14213,71,42,2020-10-13
14213,73,37,2020-10-14
14213,39,22,2020-10-15
14213,16,10,2020-10-16
14213,13,7,2020-10-17
14213,24,17,2020-10-18
14213,14,10,2020-10-19
14213,28,21,2020-10-20
14213,23,15,2020-10-22
14213,24,11,2020-10-23
14213,26,19,2020-10-24
14213,1,0,2020-10-25
14213,17,12,2020-10-26
14213,16,8,2020-10-27
14213,12,9,2020-10-29
14213,9,6,2020-10-30
14213,10,6,2020-10-31
14213,3,3,2020-11-01
14213,18,11,2020-11-02
14213,36,25,2020-11-03
14213,30,18,2020-11-04
14213,16,13,2020-11-05
14213,38,25,2020-11-06
14213,18,11,2020-11-07
14213,20,10,2020-11-08
14213,8,7,2020-11-09
14213,8,6,2020-11-10
14213,14,13,2020-11-11
14213,13,7,2020-11-12
14213,28,17,2020-11-13
14213,40,27,2020-11-14
14213,40,27,2020-11-15
14213,36,24,2020-11-16
14213,63,52,2020-11-17
14213,25,15,2020-11-18
14213,14,9,2020-11-19
14213,35,25,2020-11-20
14213,36,24,2020-11-21
14213,19,11,2020-11-23
14213,37,27,2020-11-24
14213,48,32,2020-11-25
14213,43,27,2020-11-26
14213,15,10,2020-11-27
14213,25,18,2020-11-28
14213,11,6,2020-11-29
14213,12,10,2020-11-30
15770,2,1,2020-06-05
15770,4,3,2020-09-23
15770,3,2,2020-09-25
15770,4,3,2020-10-11
15770,6,5,2020-11-04
15770,12,7,2020-11-07
15770,12,10,2020-11-08
15770,5,1,2020-11-09
15770,7,4,2020-11-10
15770,1,0,2020-11-11
15770,26,22,2020-11-13
15770,4,3,2020-11-15
16167,20,14,2020-06-30
16167,39,27,2020-07-01
16167,7,5,2020-07-02
16167,6,4,2020-07-03
16167,1,0,2020-07-27
16167,9,6,2020-08-05
16167,64,41,2020-08-06
16167,9,6,2020-08-07
16167,16,11,2020-08-12
16167,12,10,2020-08-13
16167,7,4,2020-08-14
16167,7,3,2020-08-21
16167,38,30,2020-08-22
16167,6,4,2020-08-23
16167,4,4,2020-08-24
16167,30,20,2020-08-30
16167,30,20,2020-08-31
16167,4,2,2020-09-01
16167,3,2,2020-09-02
16167,3,3,2020-09-05
16167,3,2,2020-09-26
16167,29,19,2020-09-27
16167,2,2,2020-09-28
16167,6,3,2020-09-30
16167,10,5,2020-10-01
26937,1,0,2020-09-28
44080,29,23,2020-10-05
44080,38,26,2020-10-06
44080,35,22,2020-10-07
44080,22,17,2020-10-08
44080,46,30,2020-10-09
44080,39,25,2020-10-10
44080,48,32,2020-10-11
44080,23,20,2020-10-12
44080,21,18,2020-10-13
44080,21,15,2020-10-28
44080,2,2,2020-10-29
44080,10,4,2020-11-01
44080,1,1,2020-11-02
44361,1,0,2020-06-29
44765,1,1,2020-06-04
44765,2,2,2020-06-07
44765,1,1,2020-06-18
44765,1,1,2020-06-25
44765,1,1,2020-06-27
44765,2,1,2020-06-28
44765,1,1,2020-07-01
44765,3,1,2020-07-02
44765,7,5,2020-07-03
44765,1,1,2020-07-04
44765,2,2,2020-07-21
44765,4,1,2020-08-27
44765,3,1,2020-09-03
44765,1,1,2020-09-06
44765,3,2,2020-09-15
44765,3,2,2020-10-18
44827,7,3,2020-06-19
44827,3,2,2020-06-22
44827,2,1,2020-06-23
44827,7,5,2020-06-26
44827,1,1,2020-06-29
44827,1,0,2020-06-30
44827,2,0,2020-07-01
44827,5,2,2020-07-02
44827,1,0,2020-07-03
44827,2,2,2020-07-04
44827,1,1,2020-07-19
44827,3,2,2020-07-21
44827,1,1,2020-07-22
44827,4,2,2020-07-23
44827,3,1,2020-07-28
44827,1,0,2020-11-12
44827,4,3,2020-11-13
44827,3,1,2020-11-17
44827,9,6,2020-11-18
44827,13,7,2020-11-19
44827,8,4,2020-11-20
67004,2,1,2020-06-02
67004,3,1,2020-06-09
67004,3,2,2020-06-12
67004,3,2,2020-06-13
67004,3,1,2020-06-14
67004,3,1,2020-10-26
67004,7,4,2020-10-27
67004,9,4,2020-10-29
67004,12,4,2020-10-30
67004,40,20,2020-10-31
67004,2,1,2020-11-02
67004,14,7,2020-11-03
67004,1,1,2020-11-04
67004,1,1,2020-11-05
67004,10,7,2020-11-06
67004,6,3,2020-11-07
67004,3,2,2020-11-09
67004,8,4,2020-11-10
67004,1,1,2020-11-11
67004,2,0,2020-11-12
67004,3,1,2020-11-13
67004,3,1,2020-11-22
72793,1,0,2020-09-24
75082,10,5,2020-06-07
75082,9,7,2020-06-08
75082,7,3,2020-06-10
75082,2,1,2020-06-12
75082,5,2,2020-06-15
75082,9,7,2020-06-16
75082,2,2,2020-06-17
75082,5,2,2020-06-20
75082,2,0,2020-06-21
75082,2,1,2020-06-22
75082,9,6,2020-06-29
75082,7,4,2020-06-30
75082,5,3,2020-07-01
75082,13,10,2020-07-04
75082,6,3,2020-07-17
75082,2,1,2020-07-19
75082,4,2,2020-07-20
75082,2,2,2020-07-27
75082,2,1,2020-08-01
75082,3,0,2020-08-03
75082,3,2,2020-08-04
75082,1,0,2020-08-07
75082,1,0,2020-08-08
75082,2,1,2020-08-10
75082,1,0,2020-08-11
75082,1,0,2020-08-14
75082,2,1,2020-08-18
75082,7,5,2020-08-19
75082,6,5,2020-08-24
75082,2,2,2020-08-25
75082,2,2,2020-08-30
75082,6,4,2020-09-06
75082,7,5,2020-09-10
75082,6,4,2020-09-11
75082,12,9,2020-09-12
75082,6,4,2020-09-13
75082,2,0,2020-09-14
75082,2,1,2020-09-15
75082,10,6,2020-09-19
75082,5,1,2020-09-20
75082,19,7,2020-09-21
75082,4,3,2020-09-22
75082,1,1,2020-09-26
75082,19,16,2020-09-27
75082,29,21,2020-09-28
75082,44,25,2020-09-29
75082,44,23,2020-09-30
75082,127,82,2020-10-01
75082,53,21,2020-10-02
75082,73,57,2020-10-03
75082,143,101,2020-10-04
75082,75,41,2020-10-05
75082,129,93,2020-10-06
75082,130,84,2020-10-07
75082,50,34,2020-10-08
75082,115,67,2020-10-09
75082,28,15,2020-10-10
75082,18,14,2020-10-11
75082,5,4,2020-10-12
75082,10,5,2020-10-13
75082,20,16,2020-10-14
75082,5,3,2020-10-15
75082,46,36,2020-10-19
75082,28,19,2020-10-20
