f_player_id,buyin,f_name,f_tournament_id,f_playing_time_limit,f_ticket_distribution,date
13438,110.0000,"Time Crunch (15 min)",135354824,900,,"2020-09-01 19:59:57"
13459,1100.0000,"Half Rebuy StackUp",134911308,0,,"2020-09-01 19:59:57"
13477,12.0000,"Time Crunch (15 min)",135630621,900,,"2020-09-03 15:34:55"
13536,770.0000,"StackUp Lite",138093817,0,,"2020-09-01 19:59:57"
13545,770.0000,"StackUp Lite",138093817,0,,"2020-09-01 19:59:57"
13594,550.0000,"Time Crunch (15 min)",136573929,900,,"2020-09-09 17:34:57"
13622,770.0000,"StackUp Lite",138093817,0,,"2020-09-02 19:59:57"
13690,550.0000,"Mini StackUp",134911203,0,,"2020-09-01 14:29:50"
13714,110.0000,"Time Crunch (15 min)",140965896,900,,"2020-10-11 14:26:58"
13992,176.0000,"2 Tkt Satty Afternoon Turbo",135415190,900,G,"2020-09-02 14:29:51"
14213,0.0000,"Raina Freeroll",141239703,0,,"2020-10-27 18:59:57"
15770,990.0000,"PPS #21 - Master Blaster 1E",137449276,0,G,"2020-09-20 17:59:55"
44080,1100.0000,"SM #4 Sunday StackUp (6 Max)",139670014,0,,"2020-10-04 19:29:55"
44765,550.0000,"Mini StackUp",134911203,0,,"2020-09-01 14:29:50"
44827,1650.0000,StackUp,134911310,0,,"2020-09-02 19:59:57"
67004,880.0000,"Afternoon Turbo",134911213,0,,"2020-09-01 16:29:55"
72793,0.0000,"private SNG",138700060,0,,"2020-09-24 14:36:37"
75082,550.0000,"Mini StackUp",138093726,0,,"2020-09-01 13:29:50"
143003,550.0000,"Time Crunch (15 min)",144199671,900,,"2020-11-05 14:51:55"
166571,11.0000,"Texas Madness - Half Price Rebuy",138643191,0,,"2020-09-01 14:29:55"
173943,176.0000,"10 Tkt Satty PPS - Yorker",137671124,3300,G,"2020-09-17 19:59:55"
186454,770.0000,"StackUp Lite",138093817,0,,"2020-09-06 12:59:57"
198870,110.0000,"10K @ 9 PM",137993091,0,,"2020-09-19 20:59:55"
199914,110.0000,"Time Crunch (15 min)",135918597,900,,"2020-09-05 17:26:55"
218253,0.0000,"Daily Freeroll PLO",135242256,0,,"2020-09-01 16:29:55"
230101,0.0000,"Daily Freeroll NLH - Satty",135573129,0,G,"2020-09-03 12:59:55"
