left_side,right_side,similairity
Anil1122,Anil11,0.818037348
Kalicharan21,Kalicharan1,0.807052019
Testaccount566,Testaccount565,0.878712819
Testaccount566,Testaccount563,0.86942164
Testaccount566,Testaccount564,0.86942164
Testaccount566,Testaccount561,0.859676065
Testaccount565,Testaccount566,0.878712819
Testaccount565,Testaccount563,0.873195064
Testaccount565,Testaccount564,0.873195064
Testaccount565,Testaccount561,0.863407192
Testaccount564,Testaccount565,0.873195064
Testaccount564,Testaccount566,0.86942164
Testaccount564,Testaccount563,0.863962227
Testaccount564,Testaccount561,0.854277849
Testaccount563,Testaccount565,0.873195064
Testaccount563,Testaccount566,0.86942164
Testaccount563,Testaccount564,0.863962227
Testaccount563,Testaccount561,0.854277849
Aryadarshi,Aryadarshi11,0.848181533
Kuma10,Kuma1,0.823161385
Kuma1,Kuma10,0.823161385
Bhanu2999,bhanu299,0.824970947
bhanu2909,Anu2909,0.802950651
Joker2405,Poker2405,0.857778714
bhanu299,Bhanu2999,0.824970947
Umma10,Umma1,0.860675811
Umma1,Umma10,0.860675811
Tuaa10,Tuaa1,0.866126199
Tuaa1,Tuaa10,0.866126199
Kuldeep123a,Kuldeep1,0.822278556
Vibia10,Vibia1,0.887944299
Vibia1,Vibia10,0.887944299
Hibia10,Hibia1,0.887944299
Hibia1,Hibia10,0.887944299
Lankesh13,Lankesh12,0.81780141
Aklash,Aklas,0.942307526
Rani55,Rani5,0.817674621
Pranithis008,Pranithis007,0.902293752
Pranithis007,Pranithis008,0.902293752
Rohitagarwal273,Rohitagarwal2703,0.845630212
Aklas,Aklash,0.942307526
Bhola198888,Bhola1988,0.807625672
Lankesh12,Lankesh13,0.81780141
Testaccount561,Testaccount565,0.863407192
Testaccount561,Testaccount566,0.859676065
Testaccount561,Testaccount563,0.854277849
Testaccount561,Testaccount564,0.854277849
Testaccount559,Testaccount555,0.884730042
Testaccount559,Testaccount550,0.867692676
Testaccount559,Testaccount551,0.865230248
Testaccount559,Testaccount552,0.865230248
Testaccount559,Testaccount553,0.865230248
Testaccount559,Testaccount554,0.865230248
Testaccount559,Testaccount558,0.865230248
Testaccount558,Testaccount555,0.887868104
Testaccount558,Testaccount550,0.870770308
Testaccount558,Testaccount551,0.868299146
Testaccount558,Testaccount552,0.868299146
Testaccount558,Testaccount553,0.868299146
Testaccount558,Testaccount554,0.868299146
Testaccount558,Testaccount559,0.865230248
Abhiraj106,Abhiraj105,0.802418302
Testaccount555,Testaccount550,0.890394958
Testaccount555,Testaccount551,0.887868104
Testaccount555,Testaccount552,0.887868104
Testaccount555,Testaccount553,0.887868104
Testaccount555,Testaccount554,0.887868104
Testaccount555,Testaccount558,0.887868104
Testaccount555,Testaccount559,0.884730042
Testaccount554,Testaccount555,0.887868104
Testaccount554,Testaccount550,0.870770308
Testaccount554,Testaccount551,0.868299146
Testaccount554,Testaccount552,0.868299146
Testaccount554,Testaccount553,0.868299146
Testaccount554,Testaccount558,0.868299146
Testaccount554,Testaccount559,0.865230248
Testaccount553,Testaccount555,0.887868104
Testaccount553,Testaccount550,0.870770308
Testaccount553,Testaccount551,0.868299146
Testaccount553,Testaccount552,0.868299146
Testaccount553,Testaccount554,0.868299146
Testaccount553,Testaccount558,0.868299146
Testaccount553,Testaccount559,0.865230248
Testaccount552,Testaccount555,0.887868104
Testaccount552,Testaccount550,0.870770308
Testaccount552,Testaccount551,0.868299146
Testaccount552,Testaccount553,0.868299146
Testaccount552,Testaccount554,0.868299146
Testaccount552,Testaccount558,0.868299146
Testaccount552,Testaccount559,0.865230248
Testaccount551,Testaccount555,0.887868104
Testaccount551,Testaccount550,0.870770308
Testaccount551,Testaccount552,0.868299146
Testaccount551,Testaccount553,0.868299146
Testaccount551,Testaccount554,0.868299146
Testaccount551,Testaccount558,0.868299146
Testaccount551,Testaccount559,0.865230248
Testaccount550,Testaccount555,0.890394958
Testaccount550,Testaccount551,0.870770308
Testaccount550,Testaccount552,0.870770308
Testaccount550,Testaccount553,0.870770308
Testaccount550,Testaccount554,0.870770308
Testaccount550,Testaccount558,0.870770308
Testaccount550,Testaccount559,0.867692676
Abhiraj105,Abhiraj106,0.802418302
Abhi321,Abhi321995,0.811104984
Kingofqueens,Kingofqueenss,0.930417352
Nadia10,Nadia1,0.885064326
Bluffmaster78,Bluffmaster$,0.835074799
Bluffmaster78,Bluffmaster11,0.82623941
Ravi01,Ravi011,0.889479597
Sattaking48,Sattaking,0.815614776
Good12345,Good1234,0.944818076
Sunilkumar1,Sunilkumarak,0.857064788
Nadia1,Nadia10,0.885064326
Pankaj1999,Pankaj1995,0.870974192
Hiiiiiiiiih,Aiiiiiiiii,0.958343068
Hiiiiiiiiih,Abhiiiiiii,0.928567734
Vipin11,Vipin111,0.938919662
Testaccount549,Testaccount543,0.875317364
Testaccount549,Testaccount544,0.875317364
Testaccount549,Testaccount545,0.875317364
Testaccount549,Testaccount541,0.867692676
Testaccount549,Testaccount546,0.867692676
Testaccount549,Testaccount542,0.863655581
Testaccount549,Testaccount547,0.863655581
Testaccount549,Testaccount548,0.863655581
Testaccount548,Testaccount543,0.865701716
Testaccount548,Testaccount544,0.865701716
Testaccount548,Testaccount545,0.865701716
Testaccount548,Testaccount549,0.863655581
Testaccount548,Testaccount541,0.858160788
Testaccount548,Testaccount546,0.858160788
Testaccount548,Testaccount542,0.854168042
Testaccount548,Testaccount547,0.854168042
Testaccount547,Testaccount543,0.865701716
Testaccount547,Testaccount544,0.865701716
Testaccount547,Testaccount545,0.865701716
Testaccount547,Testaccount549,0.863655581
Testaccount547,Testaccount541,0.858160788
Testaccount547,Testaccount546,0.858160788
Testaccount547,Testaccount542,0.854168042
Testaccount547,Testaccount548,0.854168042
Testaccount546,Testaccount543,0.869748375
Testaccount546,Testaccount544,0.869748375
Testaccount546,Testaccount545,0.869748375
Testaccount546,Testaccount549,0.867692676
Testaccount546,Testaccount541,0.862172197
Testaccount546,Testaccount542,0.858160788
Testaccount546,Testaccount547,0.858160788
Testaccount546,Testaccount548,0.858160788
Testaccount545,Testaccount543,0.877391127
Testaccount545,Testaccount544,0.877391127
Testaccount545,Testaccount549,0.875317364
Testaccount545,Testaccount541,0.869748375
Testaccount545,Testaccount546,0.869748375
Testaccount545,Testaccount542,0.865701716
Testaccount545,Testaccount547,0.865701716
Testaccount545,Testaccount548,0.865701716
Bluffmaster11,Bluffmaster$,0.843677251
Bluffmaster11,Bluffmaster78,0.82623941
Soberxdx,Soberxd,0.894923464
Zerohero6,Zerohero,0.920308359
Kingfisher2,Kingfisher13,0.827871469
Madamjik4,Madamjik1,0.823432227
Madamjik4,Madamjik2,0.813180906
kadali33,kadali3,0.873801742
Madamjik3,Madamjik1,0.810573193
Madamjik3,Madamjik2,0.80048196
kadali32,kadali3,0.861428841
Madamjik2,Madamjik1,0.827483687
Madamjik2,Madamjik4,0.813180906
Madamjik2,Madamjik3,0.80048196
Madamjik1,Madamjik2,0.827483687
Madamjik1,Madamjik4,0.823432227
Madamjik1,Madamjik3,0.810573193
kadali31,kadali3,0.847803334
kadali30,kadali3,0.836897333
Raina567,Raina56,0.924083673
Raina56,Raina567,0.924083673
kadali29,kadali2,0.840323499
Dipttisk20,Dipttisk2,0.919709067
Totamra6,Totamra1,0.817470445
Dipttisk18,Dipttisk1,0.90740301
Dipttisk18,Dipttisk12,0.849849128
Dipttisk18,Dipttisk11,0.840678789
Dipttisk18,Dipttisk15,0.833401748
Dipttisk18,Dipttisk14,0.831423275
Dipttisk18,Dipttisk10,0.829161743
Dipttisk18,Dipttisk13,0.826527365
Dipttisk18,Dipttisk16,0.826527365
Dipttisk18,Dipttisk17,0.819484565
Totamra5,Totamra1,0.813616922
Dipttisk17,Dipttisk1,0.903109816
Dipttisk17,Dipttisk12,0.845828238
Dipttisk17,Dipttisk11,0.836701287
Dipttisk17,Dipttisk15,0.829458676
Dipttisk17,Dipttisk14,0.827489564
Dipttisk17,Dipttisk10,0.825238731
Dipttisk17,Dipttisk13,0.822616818
Dipttisk17,Dipttisk16,0.822616818
Dipttisk17,Dipttisk18,0.819484565
kadali28,kadali2,0.854450542
Dipttisk16,Dipttisk1,0.910871307
Dipttisk16,Dipttisk12,0.853097441
Dipttisk16,Dipttisk11,0.84389205
Dipttisk16,Dipttisk15,0.836587195
Dipttisk16,Dipttisk14,0.83460116
Dipttisk16,Dipttisk10,0.832330984
Dipttisk16,Dipttisk13,0.829686537
Dipttisk16,Dipttisk18,0.826527365
Dipttisk16,Dipttisk17,0.822616818
Totamra4,Totamra1,0.808861382
Totamra3,Totamra1,0.817470445
kadali27,kadali2,0.848295486
Dipttisk15,Dipttisk1,0.918447193
Dipttisk15,Dipttisk12,0.860192811
Dipttisk15,Dipttisk11,0.850910858
Dipttisk15,Dipttisk14,0.841542694
Dipttisk15,Dipttisk10,0.839253636
Dipttisk15,Dipttisk13,0.836587195
Dipttisk15,Dipttisk16,0.836587195
Dipttisk15,Dipttisk18,0.833401748
Dipttisk15,Dipttisk17,0.829458676
Dipttisk14,Dipttisk1,0.916266825
Dipttisk14,Dipttisk12,0.858150737
Dipttisk14,Dipttisk11,0.848890819
Dipttisk14,Dipttisk15,0.841542694
Dipttisk14,Dipttisk10,0.837261271
Dipttisk14,Dipttisk13,0.83460116
Dipttisk14,Dipttisk16,0.83460116
Dipttisk14,Dipttisk18,0.831423275
Dipttisk14,Dipttisk17,0.827489564
kadali26,kadali2,0.848295486
Dipttisk11,Dipttisk1,0.926466828
Dipttisk11,Dipttisk12,0.867703784
Dipttisk11,Dipttisk15,0.850910858
Dipttisk11,Dipttisk14,0.848890819
Dipttisk11,Dipttisk10,0.846581774
Dipttisk11,Dipttisk13,0.84389205
Dipttisk11,Dipttisk16,0.84389205
Dipttisk11,Dipttisk18,0.840678789
Dipttisk11,Dipttisk17,0.836701287
Totamra2,Totamra1,0.82592466
Dipttisk13,Dipttisk1,0.910871307
Dipttisk13,Dipttisk12,0.853097441
Dipttisk13,Dipttisk11,0.84389205
Dipttisk13,Dipttisk15,0.836587195
Dipttisk13,Dipttisk14,0.83460116
Dipttisk13,Dipttisk10,0.832330984
Dipttisk13,Dipttisk16,0.829686537
Dipttisk13,Dipttisk18,0.826527365
Dipttisk13,Dipttisk17,0.822616818
Totamra1,Totamra2,0.82592466
Totamra1,Totamra3,0.817470445
Totamra1,Totamra6,0.817470445
Totamra1,Totamra5,0.813616922
Totamra1,Totamra4,0.808861382
Dipttisk12,Dipttisk1,0.936572965
Dipttisk12,Dipttisk11,0.867703784
Dipttisk12,Dipttisk15,0.860192811
Dipttisk12,Dipttisk14,0.858150737
Dipttisk12,Dipttisk10,0.855816504
Dipttisk12,Dipttisk13,0.853097441
Dipttisk12,Dipttisk16,0.853097441
Dipttisk12,Dipttisk18,0.849849128
Dipttisk12,Dipttisk17,0.845828238
Dipttisk10,Dipttisk1,0.913774512
Dipttisk10,Dipttisk12,0.855816504
Dipttisk10,Dipttisk11,0.846581774
Dipttisk10,Dipttisk15,0.839253636
Dipttisk10,Dipttisk14,0.837261271
Dipttisk10,Dipttisk13,0.832330984
Dipttisk10,Dipttisk16,0.832330984
Dipttisk10,Dipttisk18,0.829161743
Dipttisk10,Dipttisk17,0.825238731
Dipttisk9,Dipttisk1,0.809841772
Dipttisk8,Dipttisk1,0.815639753
Dipttisk7,Dipttisk1,0.809841772
kadali25,kadali2,0.854450542
Dipttisk6,Dipttisk1,0.809841772
Dipttisk4,Dipttisk1,0.809841772
kadali24,kadali2,0.840323499
Dipttisk5,Dipttisk1,0.815639753
kadali23,kadali2,0.854450542
Dipttisk3,Dipttisk1,0.809841772
kadali22,kadali2,0.854450542
Dipttisk1,Dipttisk12,0.936572965
Dipttisk1,Dipttisk11,0.926466828
Dipttisk1,Dipttisk15,0.918447193
Dipttisk1,Dipttisk14,0.916266825
Dipttisk1,Dipttisk10,0.913774512
Dipttisk1,Dipttisk13,0.910871307
Dipttisk1,Dipttisk16,0.910871307
Dipttisk1,Dipttisk18,0.90740301
Dipttisk1,Dipttisk17,0.903109816
Dipttisk2,Dipttisk20,0.919709067
Dipttisk2,Dipttisk1,0.823689914
kadali21,kadali2,0.840323499
Monsapk20,Monsapk2,0.906218108
Ramusk10,Ramusk1,0.888999293
Monsapk19,Monsapk1,0.89301814
